201301,124
201302,310
201303,239
201304,133
201305,155
201306,163
201307,168
201308,126
201309,172
201310,164
201311,203
201312,202
200801,63
200802,57
200803,133
200804,146
200805,131
200806,44
200807,26
200808,39
200809,139
200810,122
200811,95
200812,49
201401,151
201402,175
201403,118
201404,235
201405,270
201406,271
201407,270
201408,316
201409,227
201410,361
201411,304
201412,187
200901,31
200902,144
200903,362
200904,63
200905,60
200906,120
200907,76
200908,135
200909,142
200910,176
200911,83
200912,64
201501,258
201502,229
201503,415
201504,401
201505,498
201506,425
201507,625
201508,410
201509,414
201510,351
201511,208
201512,215
201001,470
201002,330
201003,267
201004,166
201005,138
201006,208
201007,101
201008,92
201009,127
201010,106
201011,320
201012,153
201601,262
201602,411
201603,332
201604,240
201605,242
201606,294
201607,157
201608,217
201609,295
201610,297
201611,330
201612,22
201101,188
201102,147
201103,309
201104,143
201105,193
201106,416
201107,521
201108,146
201109,175
201110,330
201111,285
201112,292
201201,407
201202,378
201203,354
201204,176
201205,138
201206,247
201207,275
201208,434
201209,475
201210,308
201211,310
201212,171
