Overall Herfindahl Indices
CNTK-Microsoft                	0.0641941386711
Theano-Theano                 	0.0631636985459
caffe-BVLC                    	0.134573153919
deeplearning4j-deeplearning4j 	0.15258423672
incubator-systemml            	0.146836143603
tensorflow-tensorflow         	0.138899395601
torch7-torch                  	0.138135515907

Per Year
CNTK-Microsoft
	2014 6		0.163600713498
	2014 7		0.197530864198
	2014 8		0.104270149015
	2014 9		0.118709852704
	2014 10		0.153260027164
	2014 11		0.130085699446
	2014 12		0.11121278847
	2015 1		0.0831981251127
	2015 2		0.140024027002
	2015 3		0.0850224996371
	2015 4		0.0951548808776
	2015 5		0.10679666457
	2015 6		0.0886975778547
	2015 7		0.1455488
	2015 8		0.145484830458
	2015 9		0.126444024365
	2015 10		0.130916145161
	2015 11		0.114876109467
	2015 12		0.100227149811
	2016 1		0.0990035545714
	2016 2		0.106872443331
	2016 3		0.0856800696763
	2016 4		0.124375
	2016 5		0.221330510211
	2016 6		0.0803831736776
	2016 7		0.108280254777
	2016 8		0.0982182675359
	2016 9		0.159689744326
	2016 10		0.15967758392
	2016 11		0.0841505968779

caffe-BVLC
	2008 1		0
	2008 2		0
	2008 3		0
	2008 4		0
	2008 5		0
	2008 6		0
	2008 7		0
	2008 8		0
	2008 9		0
	2008 10		0
	2008 11		0
	2008 12		0
	2009 1		0
	2009 2		0
	2009 3		0
	2009 4		0
	2009 5		0
	2009 6		0
	2009 7		0
	2009 8		0
	2009 9		0
	2009 10		0
	2009 11		0
	2009 12		0
	2010 1		0
	2010 2		0
	2010 3		0
	2010 4		0
	2010 5		0
	2010 6		0
	2010 7		0
	2010 8		0
	2010 9		0
	2010 10		0
	2010 11		0
	2010 12		0
	2011 1		0
	2011 2		0
	2011 3		0
	2011 4		0
	2011 5		0
	2011 6		0
	2011 7		0
	2011 8		0
	2011 9		0
	2011 10		0
	2011 11		0
	2011 12		0
	2012 1		0
	2012 2		0
	2012 3		0
	2012 4		0
	2012 5		0
	2012 6		0
	2012 7		0
	2012 8		0
	2012 9		0
	2012 10		0
	2012 11		0
	2012 12		0
	2013 1		0
	2013 2		0
	2013 3		0
	2013 4		0
	2013 5		0
	2013 6		0
	2013 7		0
	2013 8		0
	2013 9		1.0
	2013 10		1.0
	2013 11		0.773533950617
	2013 12		0.233727810651
	2014 1		0.280666475151
	2014 2		0.171485260771
	2014 3		0.255328896605
	2014 4		0.298564765905
	2014 5		0.303173992909
	2014 6		0.204491374182
	2014 7		0.15866046832
	2014 8		0.195890548765
	2014 9		0.153275690429
	2014 10		0.131669302882
	2014 11		0.293552812071
	2014 12		0.156119817497
	2015 1		0.267308244757
	2015 2		0.230851921526
	2015 3		0.195745172852
	2015 4		0.0677551020408
	2015 5		0.136279585799
	2015 6		0.227173119065
	2015 7		0.102040816327
	2015 8		0.138706273841
	2015 9		0.132653061224
	2015 10		0.203856749311
	2015 11		0.120674740484
	2015 12		0.15306122449
	2016 1		0.177003168855
	2016 2		0.177934018388
	2016 3		0.372175980975
	2016 4		0.209141274238
	2016 5		0.141493055556
	2016 6		0.185185185185
	2016 7		0.156899810964
	2016 8		0.218934911243
