Overall Herfindahl Indices
CNTK-Microsoft                	0.0641941386711
Theano-Theano                 	0.0631636985459
caffe-BVLC                    	0.134573153919
deeplearning4j-deeplearning4j 	0.15258423672
incubator-systemml            	0.146836143603
tensorflow-tensorflow         	0.0131251991354
torch7-torch                  	0.138135515907

Per Year
Year         CNTK-Microsoft                 Theano-Theano                  caffe-BVLC                     deeplearning4j-deeplearning4j  incubator-systemml             tensorflow-tensorflow          torch7-torch                   
2013 12      0                              0.370208803059                 0.233727810651                 1.0                            0.488456315075                 0                              1.0                            
2014 1       0                              0.26354107276                  0.280666475151                 1.0                            0.813411078717                 0                              1.0                            
2014 2       0                              0.181844897959                 0.171485260771                 0.873422222222                 0.711805555556                 0                              0.278911564626                 
2014 3       0                              0.194627980465                 0.255328896605                 1.0                            0.381665449233                 0                              0.189750692521                 
2014 4       0                              0.265260298778                 0.298564765905                 0.866370808679                 0.51867768595                  0                              0.413580246914                 
2014 5       0                              0.157914951989                 0.303173992909                 1.0                            0.561801446417                 0                              0.265625                       
2014 6       0                              0.163600713498                 0.204491374182                 0.723467565959                 0.328741965106                 0                              0.21875                        
2014 7       1.0                            0.197530864198                 0.15866046832                  0.757184228113                 0.333333333333                 0                              0.173469387755                 
2014 8       0.5                            0.104270149015                 0.195890548765                 0.512902695595                 0.283366206443                 0                              0.68                           
2014 9       0.203888888889                 0.118709852704                 0.153275690429                 0.796782044348                 0.446416831032                 0                              0.333333333333                 
2014 10      0.439887152778                 0.153260027164                 0.131669302882                 1.0                            0.260951357162                 0                              0.246913580247                 
2014 11      0.405405405405                 0.130085699446                 0.293552812071                 0.805801248699                 0.403802625622                 0                              0.315555555556                 
2014 12      0.207756232687                 0.11121278847                  0.156119817497                 0.684493415748                 0.279421433268                 0                              0.44                           
2015 1       0.151577503429                 0.0831981251127                0.267308244757                 0.477224251278                 0.5364                         0                              0.208163265306                 
2015 2       0.23988418897                  0.140024027002                 0.230851921526                 0.34612244898                  0.371031746032                 0                              0.357638888889                 
2015 3       0.263794406652                 0.0850224996371                0.195745172852                 0.455073305269                 0.203587278107                 0                              0.2928                         
2015 4       0.33398263128                  0.0951548808776                0.0677551020408                0.525377229081                 0.631235827664                 0                              0.252811328613                 
2015 5       0.198147506925                 0.10679666457                  0.136279585799                 0.347800237812                 0.532006666013                 0                              0.201171875                    
2015 6       0.112396694215                 0.0886975778547                0.227173119065                 0.382412114657                 0.471906736374                 0                              0.297520661157                 
2015 7       0.1302677747                   0.1455488                      0.102040816327                 0.26427235617                  0.34602661549                  0                              0.245867768595                 
2015 8       0.420820277464                 0.145484830458                 0.138706273841                 0.189423783932                 0.130827428206                 0                              0.2096                         
2015 9       0.475283400967                 0.126444024365                 0.132653061224                 0.42194214876                  0.379758136515                 0                              0.245562130178                 
2015 10      0.370859183627                 0.130916145161                 0.203856749311                 0.243463010204                 0.38694214876                  0                              0.267466912896                 
2015 11      0.223968253968                 0.114876109467                 0.120674740484                 0.275847529094                 0.316186556927                 0.3636                         0.220461747397                 
2015 12      0.259177432704                 0.100227149811                 0.15306122449                  0.235641607331                 0.178824253616                 0.157905032031                 0.256235827664                 
2016 1       0.115256308627                 0.0990035545714                0.177003168855                 0.261371723957                 0.400205761317                 0.0584076767962                0.3515625                      
2016 2       0.100533288107                 0.106872443331                 0.177934018388                 0.244953173777                 0.222790357925                 0.0648856809461                0.234467455621                 
2016 3       0.0776976979586                0.0856800696763                0.372175980975                 0.283737024221                 0.568047337278                 0.0545983195882                0.23156899811                  
2016 4       0.0835477211863                0.124375                       0.209141274238                 0.342587084407                 0.375836384295                 0.0137404258901                0.375555555556                 
2016 5       0.086171875                    0.221330510211                 0.141493055556                 0.341086191211                 0.143554137737                 0.0110223342321                0.234693877551                 
2016 6       0.103093622665                 0.0803831736776                0.185185185185                 0.221897573249                 0.289795918367                 0.0122360552887                0.2                            
2016 7       0.0750011138338                0.108280254777                 0.156899810964                 0.269559097603                 0.379812695109                 0.00803146035894               0.382716049383                 
2016 8       0.152804788638                 0.0982182675359                0.218934911243                 0.297121575559                 0.197907048323                 0.00807681984804               0.419501133787                 
2016 9       0.0770031217482                0.159689744326                 0.3515625                      0.317370242215                 0.272633744856                 0.0095419181399                0.251700680272                 
2016 10      0.0717583150425                0.15967758392                  0.358024691358                 0.289645641294                 0.268229166667                 0.00738164493503               0.23629489603                  
2016 11      0.0643969780055                0.0841505968779                0.311385459534                 0.314648183155                 0.20875                        0.016444798834                 0.367346938776                
