201601,16
201602,52
201603,46
201604,30
201605,14
201606,5
201607,9
201608,21
201609,21
201610,23
201611,14
201501,35
201502,24
201503,25
201504,49
201505,32
201506,22
201507,44
201508,25
201509,26
201510,57
201511,47
201512,21
201401,2
201402,21
201403,38
201404,36
201405,16
201406,40
201407,14
201408,5
201409,6
201410,18
201411,30
201412,5
201301,4
201302,10
201303,4
201304,8
201305,3
201306,6
201307,7
201308,4
201309,2
201310,36
201311,3
201312,1
201201,4
201202,41
201203,15
201204,5
201205,6
201206,3
201207,5
201208,16
201209,13
201210,3
201211,3
201212,17
